,0,1,2,3,4,5,6,7,8,9,10
0,0.5,5,0.5599999999999999,0.6,0.7039012068481617,0.43007868864813964,0.7145663766488913,0.4045009081222321,-1.393754382560994,0.07232651512550244,0.5449695663173318
1,0.5,10,0.33999999999999997,0.51,0.7979230985124894,0.49252424646678533,0.7639629525680606,0.39267939658802326,-1.4119945602621047,0.08660829969521937,0.5689895252703857
2,0.5,20,0.184,0.315,0.8499859668818411,0.4777700647292666,0.7925905136121246,0.38374093238257806,-1.441932252460791,0.07806421941336375,0.5657940515296119
3,0.5,30,0.132,0.18333333333333332,0.8198147628403031,0.4402845352852391,0.8101319113106933,0.3885570362193729,-1.4820467487942977,0.06492653579255674,0.5618909126718699
4,0.5,40,0.09000000000000001,0.1375,0.8261296660117878,0.4420737566258649,0.8150435026662924,0.36672311587482403,-1.4846239736817952,0.06161580309591488,0.5519957975154244
5,0.5,50,0.0656,0.11199999999999999,0.7918888577041818,0.40548442262499645,0.8028346898680887,0.34135809803564254,-1.4869709343786184,0.05893996934692068,0.5613001361259722
6,1.0,5,0.624,0.66,0.8088689306763963,0.5546472844009276,0.7541397698568622,0.47875570421009134,-1.1775467984337042,0.11104647039013926,0.5649952904566818
7,1.0,10,0.41200000000000003,0.48,0.8390401347179344,0.5148515225295982,0.7868369351669942,0.4314988240629962,-1.3086227001470219,0.1049688317030952,0.5888490177084966
8,1.0,20,0.194,0.335,0.8348301992702779,0.47614399233893356,0.8000280662363177,0.40415868339597816,-1.400543212450088,0.08659338302965999,0.588953650446636
9,1.0,30,0.12666666666666665,0.19000000000000003,0.8213584058377772,0.4543572251550944,0.8258490036486107,0.37545446033708263,-1.5082681474224926,0.06665863544215404,0.5600728328504567
10,1.0,40,0.08700000000000001,0.175,0.7859949480774628,0.4057371362770902,0.8047993264103284,0.3646130491775851,-1.5559241806201798,0.06347840764829382,0.547432911135543
11,1.0,50,0.055999999999999994,0.10200000000000001,0.7823463373561605,0.4239789360725986,0.7968004490597811,0.34382072891839877,-1.438639564427179,0.05187444472313278,0.5300802558373564
12,2.0,5,0.5920000000000001,0.56,0.8210777434746,0.5644172499813207,0.7862756104406399,0.501115061124295,-1.190093609407194,0.09831025879141808,0.5584509242638374
13,2.0,10,0.332,0.41,0.7968004490597811,0.4625495800376053,0.7695761998316026,0.4001582414140814,-1.4160192420505733,0.06816549667878395,0.5452396597579459
14,2.0,20,0.19,0.32999999999999996,0.8369351669941061,0.48638401873602727,0.80367667695762,0.37346325598295516,-1.444049068060065,0.0733061471754836,0.5583119856059943
15,2.0,30,0.11733333333333335,0.19999999999999993,0.8255683412854337,0.4903424416181571,0.8210777434746,0.37786567620448996,-1.539937197012199,0.06465746954933234,0.5531285775677914
16,2.0,40,0.08499999999999999,0.1375,0.7653662643839461,0.4163701258626451,0.8057816446814482,0.3459925845509937,-1.3784046095933933,0.05080434148133147,0.539322591546067
17,2.0,50,0.055999999999999994,0.11,0.7854336233511087,0.4057558651130743,0.8245860230143138,0.3471832629943118,-1.529850959174426,0.05816468765905757,0.5367556527542932
18,5.0,5,0.512,0.5599999999999999,0.7525961268593881,0.4758826098372477,0.6794835812517541,0.37331612516792734,-1.3048089748745633,0.071832184326894,0.5560343334577652
19,5.0,10,0.45200000000000007,0.5399999999999999,0.8502666292450183,0.5139531501028928,0.7659275891103003,0.4121650936201759,-1.4341540599953828,0.09719626345493672,0.562225207276044
20,5.0,20,0.188,0.27,0.8081672747684535,0.4611702850809033,0.7951164748807185,0.38185318211902897,-1.4303896231266227,0.0831999156919908,0.5718483651515686
21,5.0,30,0.11600000000000002,0.2,0.7649452708391805,0.3905208051032686,0.793713163064833,0.36206348615306744,-1.4895618513777735,0.06560816875810054,0.5533341227920655
22,5.0,40,0.096,0.11000000000000001,0.7938534942464216,0.4373833195016531,0.8367948358125176,0.37131020319350433,-1.4830870822178217,0.05325184395725195,0.5369453592498429
23,5.0,50,0.0616,0.1,0.8000280662363177,0.3994947649713177,0.8209374122930115,0.34676543665709936,-1.5121147185023995,0.05883140462856816,0.5508233539853659
24,10.0,5,0.616,0.5599999999999999,0.81237721021611,0.5598146775042921,0.786556272803817,0.5011383220541172,-1.222785388376915,0.08856649291137395,0.5492642870866973
25,10.0,10,0.4,0.4600000000000001,0.8373561605388717,0.5221722040574804,0.7612966601178782,0.4133927401055062,-1.4549538932089878,0.0890841629101426,0.5743410734441131
26,10.0,20,0.16799999999999998,0.29500000000000004,0.8372158293572832,0.4694168828777153,0.8227617176536627,0.3842621537744823,-1.3777975191020553,0.07360647484855762,0.5699782563754476
27,10.0,30,0.136,0.22666666666666668,0.8370754981756946,0.485089811693115,0.8133595284872298,0.36331795006390516,-1.4863782038762956,0.05538576446428156,0.5388436510324931
28,10.0,40,0.082,0.15,0.8000280662363177,0.43351205121871345,0.8175694639348864,0.34120901874488907,-1.5107484590094733,0.05623818482581355,0.5484781010088224
29,10.0,50,0.06480000000000001,0.126,0.7802413696323323,0.4056571342553528,0.7983440920572551,0.3402420965514769,-1.503800741685957,0.057339030109307784,0.5416499266013604
