,0,1,2,3
0,0.8287416666666667,0.78,0.8265753612184511,0.930861839861111
1,0.8244833333333333,0.6599999999999999,0.8227370455683034,0.9241343523611112
2,0.826275,0.6599999999999999,0.8245810750503045,0.9263526468981482
3,0.8318,0.76,0.8291611797264746,0.9430255331481481
4,0.8295666666666667,0.7600000000000001,0.8268897309184022,0.9433679118055556
5,0.794,0.7,0.791494904427133,0.900193267824074
6,0.82835,0.76,0.8255730789964391,0.9435670624537037
7,0.810225,0.8,0.8066084641843407,0.9319047439814815
8,0.8244583333333333,0.7799999999999999,0.822146507514973,0.9250726813888889
9,0.8241583333333333,0.82,0.8217703497585959,0.924534278425926
