,0,1,2,3,4,5,6,7,8,9,10
0,0.5,5,0.808,0.7,0.7959916666666667,0.5332215617894923,0.7753916666666667,0.5338928531001426,-2.6946869736210197,0.03387028755215038,0.47451942294808724
1,0.5,10,0.5479999999999999,0.55,0.828925,0.48536367913616413,0.712225,0.4164113907455726,-2.9463135224332353,0.046496935552378285,0.5030583221144231
2,0.5,20,0.33799999999999997,0.375,0.83275,0.45815902945264453,0.6891416666666667,0.35428593418736803,-2.8866087249835983,0.02921826406553769,0.44045911714466435
3,0.5,30,0.22,0.25666666666666665,0.8322666666666667,0.45217307225726333,0.699925,0.34372411622461163,-2.849043111441399,0.018676098046184038,0.4168870009839315
4,0.5,40,0.162,0.1875,0.8335083333333333,0.4498885540415723,0.7034,0.33162883279565375,-2.855674009006564,0.015026721579753178,0.4190511579845403
5,0.5,50,0.1544,0.19,0.8190583333333333,0.42050744211533475,0.6365666666666666,0.3027555615471463,-2.88480591460912,0.02221771347742553,0.43127403984907353
6,1.0,5,0.776,0.7399999999999999,0.7913,0.533647725497461,0.7677083333333333,0.5321619511292397,-2.8760540806121586,0.03012168502899667,0.46683488833881376
7,1.0,10,0.5399999999999999,0.55,0.8302333333333334,0.49021372894346177,0.7124833333333334,0.415396426388647,-2.947218877437475,0.04668518530062717,0.5025916029542853
8,1.0,20,0.282,0.31,0.82855,0.46716726773531275,0.7395,0.37539090340593945,-2.8941781966811067,0.017571879384875547,0.42178440319486493
9,1.0,30,0.22800000000000004,0.26,0.8406583333333333,0.4629486645594522,0.6998833333333333,0.34830949474039175,-2.8428790085121043,0.012778927012654475,0.4081153730002339
10,1.0,40,0.15100000000000002,0.185,0.8067583333333334,0.4274483282948665,0.6803916666666666,0.3263808887206139,-2.9749710479664353,0.009353378312910597,0.40510255083911756
11,1.0,50,0.128,0.16399999999999998,0.7916166666666666,0.4098160454892247,0.6703583333333333,0.3124248254431053,-2.8379410981534585,0.013364780222871499,0.4129028708839517
12,2.0,5,0.8,0.7,0.8003166666666667,0.5372551688417898,0.77715,0.5372779501221058,-2.710805375597866,0.03387028755215038,0.4745194229480873
13,2.0,10,0.476,0.48,0.7973166666666667,0.48154522630340857,0.7405666666666667,0.4179794662247597,-2.8589606759420403,0.04395462236654006,0.4755310988593613
14,2.0,20,0.286,0.30999999999999994,0.8065083333333334,0.4581977872385754,0.704275,0.3657235537964279,-3.0044628935174567,0.010246238319135919,0.40335161515661283
15,2.0,30,0.224,0.2366666666666667,0.7894166666666667,0.4213854515987809,0.6825083333333334,0.330010489335749,-2.9125931235593074,0.010657985549072685,0.39786407510424304
16,2.0,40,0.17400000000000002,0.2125,0.8277833333333333,0.4378935135884424,0.6679083333333333,0.31949699373253765,-2.8931746041187565,0.014574527942818463,0.4162864368056458
17,2.0,50,0.12160000000000001,0.14600000000000002,0.779575,0.39518931625354187,0.6871333333333334,0.3077492605982702,-3.0159113508130555,0.0008134026920180539,0.38298554967776144
